Local time,Open,High,Low,Close,Volume
25.07.2005 23:00:00.000 GMT+0200,1.46878,1.47937,1.46418,1.47673,444195.8969
26.07.2005 23:00:00.000 GMT+0200,1.47646,1.49355,1.47481,1.49145,499048.8978999999
27.07.2005 23:00:00.000 GMT+0200,1.49141,1.49842,1.48541,1.49129,444014.79679999995
28.07.2005 23:00:00.000 GMT+0200,1.49148,1.49333,1.48058,1.48332,439206.49450000003
29.07.2005 23:00:00.000 GMT+0200,1.48332,1.48332,1.48332,1.48332,0
30.07.2005 23:00:00.000 GMT+0200,1.48332,1.48332,1.48332,1.48332,0
31.07.2005 23:00:00.000 GMT+0200,1.48332,1.49018,1.47353,1.47494,443197.0008999999
01.08.2005 23:00:00.000 GMT+0200,1.47469,1.48488,1.47337,1.48488,446241.00070000003
02.08.2005 23:00:00.000 GMT+0200,1.48467,1.50034,1.47557,1.50023,444797.89999999997
03.08.2005 23:00:00.000 GMT+0200,1.50033,1.50372,1.49294,1.50251,446882.00600000005
04.08.2005 23:00:00.000 GMT+0200,1.50218,1.51236,1.49931,1.50150,441720.5987000001
05.08.2005 23:00:00.000 GMT+0200,1.50150,1.50150,1.50150,1.50150,0
06.08.2005 23:00:00.000 GMT+0200,1.50150,1.50150,1.50150,1.50150,0
07.08.2005 23:00:00.000 GMT+0200,1.50032,1.50442,1.49628,1.49927,445557.8015
08.08.2005 23:00:00.000 GMT+0200,1.49951,1.50703,1.49654,1.49873,443446.49650000007
09.08.2005 23:00:00.000 GMT+0200,1.49841,1.50889,1.49335,1.49773,447248.89590000006
10.08.2005 23:00:00.000 GMT+0200,1.49734,1.50286,1.49130,1.49605,445930.70070000004
11.08.2005 23:00:00.000 GMT+0200,1.49613,1.50054,1.48162,1.48828,442887.80250000005
12.08.2005 23:00:00.000 GMT+0200,1.48828,1.48828,1.48828,1.48828,0
13.08.2005 23:00:00.000 GMT+0200,1.48828,1.48828,1.48828,1.48828,0
14.08.2005 23:00:00.000 GMT+0200,1.48854,1.49119,1.47707,1.48325,496094.60410000006
15.08.2005 23:00:00.000 GMT+0200,1.48284,1.48658,1.47456,1.48099,443032.3969
16.08.2005 23:00:00.000 GMT+0200,1.48093,1.48820,1.47171,1.48771,443722.4003999999
17.08.2005 23:00:00.000 GMT+0200,1.48770,1.49043,1.48063,1.48304,446468.40489999996
